source,currency,date,buying,selling
nbe,SAR,2026-08-18,42.8887,42.8887
nbe,SEK,2026-08-18,16.9532,16.9532
nbe,USD,2026-08-18,160.2286,160.2286
nbe,XDR,2026-08-18,220.1277,220.1277
nbe,ZAR,2026-08-18,9.9541,9.9541
market,AED,2026-08-19,43.7530,43.7530
market,CHF,2026-08-19,197.7756,197.7756
market,CNY,2026-08-19,23.7805,23.7805
market,DJF,2026-08-19,0.9041,0.9041
market,EUR,2026-08-19,186.0045,186.0045
market,GBP,2026-08-19,217.4792,217.4792
market,JPY,2026-08-19,1.0068,1.0068
market,KES,2026-08-19,1.2408,1.2408
market,SAR,2026-08-19,42.8488,42.8488
market,USD,2026-08-19,160.6830,160.6830
nbe,AED,2026-08-19,44.0606,44.0606
nbe,AUD,2026-08-19,115.1813,115.1813
nbe,CAD,2026-08-19,116.6668,116.6668
nbe,CHF,2026-08-19,199.3064,199.3064
nbe,CNY,2026-08-19,23.9985,23.9985
nbe,DJF,2026-08-19,0.9153,0.9153
nbe,DKK,2026-08-19,25.0720,25.0720
nbe,EUR,2026-08-19,187.4487,187.4487
nbe,GBP,2026-08-19,219.1162,219.1162
nbe,INR,2026-08-19,1.6911,1.6911
nbe,JPY,2026-08-19,1.0141,1.0141
nbe,KES,2026-08-19,1.2610,1.2610
nbe,KWD,2026-08-19,526.7463,526.7463
nbe,NOK,2026-08-19,17.2052,17.2052
nbe,SAR,2026-08-19,43.0983,43.0983
nbe,SEK,2026-08-19,17.0062,17.0062
nbe,USD,2026-08-19,161.0118,161.0118
nbe,XDR,2026-08-19,221.4626,221.4626
nbe,ZAR,2026-08-19,9.9774,9.9774
market,AED,2026-08-20,43.9343,43.9343
market,CHF,2026-08-20,200.9188,200.9188
market,CNY,2026-08-20,23.9174,23.9174
market,DJF,2026-08-20,0.9079,0.9079
market,EUR,2026-08-20,187.9550,187.9550
market,GBP,2026-08-20,219.2633,219.2633
market,JPY,2026-08-20,1.0177,1.0177
market,KES,2026-08-20,1.2459,1.2459
market,SAR,2026-08-20,43.0264,43.0264
market,USD,2026-08-20,161.3488,161.3488
nbe,AED,2026-08-20,43.8400,43.8400
nbe,AUD,2026-08-20,113.9184,113.9184
nbe,CAD,2026-08-20,116.0388,116.0388
nbe,CHF,2026-08-20,198.5638,198.5638
nbe,CNY,2026-08-20,23.8931,23.8931
nbe,DJF,2026-08-20,0.9108,0.9108
nbe,DKK,2026-08-20,24.9683,24.9683
nbe,EUR,2026-08-20,186.6651,186.6651
nbe,GBP,2026-08-20,218.1920,218.1920
nbe,INR,2026-08-20,1.6816,1.6816
nbe,JPY,2026-08-20,1.0113,1.0113
nbe,KES,2026-08-20,1.2548,1.2548
nbe,KWD,2026-08-20,524.1373,524.1373
nbe,NOK,2026-08-20,17.1293,17.1293
nbe,SAR,2026-08-20,42.8849,42.8849
nbe,SEK,2026-08-20,16.9099,16.9099
nbe,USD,2026-08-20,160.2143,160.2143
nbe,XDR,2026-08-20,220.3657,220.3657
nbe,ZAR,2026-08-20,9.9263,9.9263
market,AED,2026-08-21,43.9552,43.9552
market,CHF,2026-08-21,201.8953,201.8953
market,CNY,2026-08-21,23.9525,23.9525
market,DJF,2026-08-21,0.9083,0.9083
market,EUR,2026-08-21,188.5732,188.5732
market,GBP,2026-08-21,220.0845,220.0845
market,JPY,2026-08-21,1.0164,1.0164
market,KES,2026-08-21,1.2471,1.2471
market,SAR,2026-08-21,43.0468,43.0468
market,USD,2026-08-21,161.4256,161.4256
nbe,AED,2026-08-21,44.0297,44.0297
nbe,AUD,2026-08-21,115.3138,115.3138
nbe,CAD,2026-08-21,117.5117,117.5117
nbe,CHF,2026-08-21,203.2271,203.2271
nbe,CNY,2026-08-21,24.0558,24.0558
nbe,DJF,2026-08-21,0.9147,0.9147
nbe,DKK,2026-08-21,25.3227,25.3227
nbe,EUR,2026-08-21,189.3114,189.3114
nbe,GBP,2026-08-21,220.7635,220.7635
nbe,INR,2026-08-21,1.6895,1.6895
nbe,JPY,2026-08-21,1.0215,1.0215
nbe,KES,2026-08-21,1.2602,1.2602
nbe,KWD,2026-08-21,527.0866,527.0866
nbe,NOK,2026-08-21,17.3777,17.3777
nbe,SAR,2026-08-21,43.0670,43.0670
nbe,SEK,2026-08-21,17.1112,17.1112
nbe,USD,2026-08-21,160.9033,160.9033
nbe,XDR,2026-08-21,221.4265,221.4265
nbe,ZAR,2026-08-21,10.0321,10.0321
market,AED,2026-08-22,43.9878,43.9878
market,CHF,2026-08-22,201.6940,201.6940
market,CNY,2026-08-22,23.9758,23.9758
market,DJF,2026-08-22,0.9090,0.9090
market,EUR,2026-08-22,188.7153,188.7153
market,GBP,2026-08-22,220.2959,220.2959
market,JPY,2026-08-22,1.0163,1.0163
market,KES,2026-08-22,1.2482,1.2482
market,SAR,2026-08-22,43.0787,43.0787
market,USD,2026-08-22,161.5452,161.5452
market,AED,2026-08-23,43.7214,43.7214
market,CHF,2026-08-23,200.4875,200.4875
market,CNY,2026-08-23,23.8122,23.8122
market,DJF,2026-08-23,0.9035,0.9035
market,EUR,2026-08-23,187.5725,187.5725
market,GBP,2026-08-23,219.0552,219.0552
market,JPY,2026-08-23,1.0106,1.0106
market,KES,2026-08-23,1.2406,1.2406
market,SAR,2026-08-23,42.8178,42.8178
market,USD,2026-08-23,160.5668,160.5668
market,AED,2026-08-24,43.8167,43.8167
market,CHF,2026-08-24,200.9330,200.9330
market,CNY,2026-08-24,23.9135,23.9135
market,DJF,2026-08-24,0.9054,0.9054
market,EUR,2026-08-24,187.9474,187.9474
market,GBP,2026-08-24,219.5483,219.5483
market,JPY,2026-08-24,1.0127,1.0127
market,KES,2026-08-24,1.2436,1.2436
market,SAR,2026-08-24,42.9111,42.9111
market,USD,2026-08-24,160.9168,160.9168
nbe,AED,2026-08-24,43.9029,43.9029
nbe,AUD,2026-08-24,115.5491,115.5491
nbe,CAD,2026-08-24,117.1593,117.1593
nbe,CHF,2026-08-24,201.3063,201.3063
nbe,CNY,2026-08-24,23.9907,23.9907
nbe,DJF,2026-08-24,0.9121,0.9121
nbe,DKK,2026-08-24,25.1779,25.1779
nbe,EUR,2026-08-24,188.2229,188.2229
nbe,GBP,2026-08-24,219.8271,219.8271
nbe,INR,2026-08-24,1.6848,1.6848
nbe,JPY,2026-08-24,1.0148,1.0148
nbe,KES,2026-08-24,1.2571,1.2571
nbe,KWD,2026-08-24,525.5824,525.5824
nbe,NOK,2026-08-24,17.3604,17.3604
nbe,SAR,2026-08-24,42.9452,42.9452
nbe,SEK,2026-08-24,17.0365,17.0365
nbe,USD,2026-08-24,160.4441,160.4441
nbe,XDR,2026-08-24,221.5525,221.5525
nbe,ZAR,2026-08-24,10.0746,10.0746
market,AED,2026-08-25,43.8224,43.8224
market,CHF,2026-08-25,200.5955,200.5955
market,CNY,2026-08-25,23.8825,23.8825
market,DJF,2026-08-25,0.9056,0.9056
market,EUR,2026-08-25,187.7456,187.7456
market,GBP,2026-08-25,219.4177,219.4177
market,JPY,2026-08-25,1.0114,1.0114
market,KES,2026-08-25,1.2439,1.2439
market,SAR,2026-08-25,42.9167,42.9167
market,USD,2026-08-25,160.9376,160.9376
market,AED,2026-08-26,43.8272,43.8272
market,CHF,2026-08-26,200.6428,200.6428
market,CNY,2026-08-26,23.8912,23.8912
market,DJF,2026-08-26,0.9057,0.9057
market,EUR,2026-08-26,187.8326,187.8326
market,GBP,2026-08-26,219.5660,219.5660
market,JPY,2026-08-26,1.0107,1.0107
market,KES,2026-08-26,1.2433,1.2433
market,SAR,2026-08-26,42.9214,42.9214
market,USD,2026-08-26,160.9552,160.9552
nbe,AED,2026-08-26,43.8380,43.8380
nbe,AUD,2026-08-26,115.3463,115.3463
nbe,CAD,2026-08-26,116.3774,116.3774
nbe,CHF,2026-08-26,200.6582,200.6582
nbe,CNY,2026-08-26,23.9507,23.9507
nbe,DJF,2026-08-26,0.9108,0.9108
nbe,DKK,2026-08-26,25.1234,25.1234
nbe,EUR,2026-08-26,187.8160,187.8160
nbe,GBP,2026-08-26,219.4541,219.4541
nbe,INR,2026-08-26,1.6815,1.6815
nbe,JPY,2026-08-26,1.0117,1.0117
nbe,KES,2026-08-26,1.2548,1.2548
nbe,KWD,2026-08-26,524.8060,524.8060
nbe,NOK,2026-08-26,17.2676,17.2676
nbe,SAR,2026-08-26,42.8807,42.8807
nbe,SEK,2026-08-26,16.9654,16.9654
nbe,USD,2026-08-26,160.2071,160.2071
nbe,XDR,2026-08-26,221.2574,221.2574
nbe,ZAR,2026-08-26,10.0532,10.0532
market,AED,2026-08-27,43.9230,43.9230
market,CHF,2026-08-27,200.3689,200.3689
market,CNY,2026-08-27,23.9406,23.9406
market,DJF,2026-08-27,0.9076,0.9076
market,EUR,2026-08-27,188.0451,188.0451
market,GBP,2026-08-27,219.4318,219.4318
market,JPY,2026-08-27,1.0130,1.0130
market,KES,2026-08-27,1.2461,1.2461
market,SAR,2026-08-27,43.0152,43.0152
market,USD,2026-08-27,161.3072,161.3072
nbe,AED,2026-08-27,43.8932,43.8932
nbe,AUD,2026-08-27,115.5976,115.5976
nbe,CAD,2026-08-27,116.1724,116.1724
nbe,CHF,2026-08-27,200.1540,200.1540
nbe,CNY,2026-08-27,23.9799,23.9799
nbe,DJF,2026-08-27,0.9120,0.9120
nbe,DKK,2026-08-27,25.1288,25.1288
nbe,EUR,2026-08-27,187.8582,187.8582
nbe,GBP,2026-08-27,219.1679,219.1679
nbe,INR,2026-08-27,1.6896,1.6896
nbe,JPY,2026-08-27,1.0117,1.0117
nbe,KES,2026-08-27,1.2574,1.2574
nbe,KWD,2026-08-27,525.3323,525.3323
nbe,NOK,2026-08-27,17.2385,17.2385
nbe,SAR,2026-08-27,42.9393,42.9393
nbe,SEK,2026-08-27,16.9053,16.9053
nbe,USD,2026-08-27,160.4219,160.4219
nbe,XDR,2026-08-27,221.2638,221.2638
nbe,ZAR,2026-08-27,10.0887,10.0887
